Sample Name,CT,Microbiome,Seed_Name
S5-PHG39-2,26.469,S5,PHG39
S5-PHG47-1,24.15,S5,PHG47
S5-PHG47-1,24.033,S5,PHG47
S5-PHG47-2,26.217,S5,PHG47
S5-PHG47-2,26.822,S5,PHG47
S6-764-1,23.376,S6,764
S6-764-1,23.462,S6,764
S6-764-2,26.862,S6,764
S6-764-2,26.57,S6,764
S6-A554-1,23.904,S6,A554
S6-A554-1,23.886,S6,A554
S6-A554-2,26.082,S6,A554
S6-A554-2,26.405,S6,A554
S6-B57-1,24.623,S6,B57
S6-B57-1,24.94,S6,B57
S6-B57-2,25.972,S6,B57
S6-B57-2,25.883,S6,B57
S6-FBB0-1,25.67,S6,FBB0
S6-FBB0-1,25.564,S6,FBB0
S6-FBB0-2,27.171,S6,FBB0
S6-FBB0-2,27.152,S6,FBB0
S6-HP301-1,19.479,S6,HP301
S6-HP301-1,19.394,S6,HP301
S6-HP301-2,25.474,S6,HP301
S6-HP301-2,25.803,S6,HP301
S6-LH60-1,24.967,S6,LH60
S6-LH60-1,25.112,S6,LH60
S6-NC262-1,23.567,S6,NC262
S6-NC262-1,23.7,S6,NC262
S6-NC262-2,25.431,S6,NC262
S6-NC262-2,25.721,S6,NC262
S6-PHG35-1,22.895,S6,PHG35
S6-PHG35-1,22.747,S6,PHG35
S6-PHG35-2,27.153,S6,PHG35
S6-PHG35-2,27.031,S6,PHG35
S6-PHG39-1,25.043,S6,PHG39
S6-PHG39-1,25.27,S6,PHG39
S6-PHG47-1,21.892,S6,PHG47
S6-PHG47-1,22.143,S6,PHG47
S6-PHG47-2,26.53,S6,PHG47
S6-PHG47-2,26.752,S6,PHG47
S7-764-1,23.485,S7,764
S7-764-1,23.357,S7,764
S7-764-2,25.177,S7,764
S7-764-2,25.222,S7,764
S7-A554-1,25.054,S7,A554
S7-A554-1,24.571,S7,A554
S7-A554-2,25.908,S7,A554
S7-A554-2,25.237,S7,A554
S7-B57-1,23.691,S7,B57
S7-B57-1,23.591,S7,B57
S7-B57-2,24.401,S7,B57
S7-B57-2,24.649,S7,B57
S7-FBB0-1,26.619,S7,FBB0
S7-FBB0-1,26.959,S7,FBB0
S7-FBB0-2,26.038,S7,FBB0
S7-FBB0-2,26.542,S7,FBB0
S7-HP301-1,25.641,S7,HP301
S7-HP301-1,25.679,S7,HP301
S7-HP301-2,25.358,S7,HP301
S7-HP301-2,25.206,S7,HP301
S7-LH60-1,24.171,S7,LH60
S7-LH60-1,24.342,S7,LH60
S7-LH60-2,24.27,S7,LH60
S7-LH60-2,24.204,S7,LH60
S7-NC262-1,24.112,S7,NC262
S7-NC262-1,24.041,S7,NC262
S7-NC262-2,25.044,S7,NC262
S7-NC262-2,25.233,S7,NC262
S7-PHG35-1,24.258,S7,PHG35
